id	link	name	owner_name	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	owner_link	catalog_export	api_status
datadatahubfreightaustraliagovau	https://data.datahub.freightaustralia.gov.au	National Freight Data Hub		Open data portal	Central government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
datafrankstonvicgovau	https://data.frankston.vic.gov.au	Frankston City Council Transparency Hub	Frankston City Council	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://frankston.vic.gov.au		uncertain
datagovau	https://data.gov.au	Australia data portal	Government of Australia	Open data portal	Central government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
datalakemaccomau	https://data.lakemac.com.au	Lake Macquarie City Council Open Data Portal	Lake Macquarie City Council	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://lakemac.com.au		uncertain
dataliverpoolnswgovau	https://data.liverpool.nsw.gov.au	Liverpool City Council IoT & Open Data Platform	Liverpool City Council	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://www.liverpool.nsw.gov.au		uncertain
datamaintenanceorgau	https://data.maintenance.org.au	Data - CTMTDS		Open data portal	Academy	CKAN	EN	dataset	open	Australia	has_api	active	True			active
datamelbournevicgovau	https://data.melbourne.vic.gov.au	Melbourne Data	City of Melbourne	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://www.melbourne.vic.gov.au		uncertain
datanswgovau	https://data.nsw.gov.au	Data.NSW		Open data portal	Regional government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
datapecletcomau	https://data.peclet.com.au	Peclet Technology data portal	Peclet Technology Pty. Ltd.	Open data portal	Business	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True			uncertain
dataportalhpcswineduau	https://data-portal.hpc.swin.edu.au	gSTAR Data Sharing Portal		Open data portal	Academy	CKAN	EN	dataset	open	Australia	has_api	active	True			active
dataqldgovau	https://data.qld.gov.au	Open Data Portal | Queensland Government		Open data portal	Regional government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
datasagovau	https://data.sa.gov.au	South Australian Government Data Directory	Government of South Australia	Open data portal	Regional government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
datasetsseednswgovau	https://datasets.seed.nsw.gov.au	SEED		Open data portal	Regional government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
datavicgovau	https://data.vic.gov.au	Victorian Government Data Directory	State of Victoria	Open data portal	Regional government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
discoverdatavicgovau	https://discover.data.vic.gov.au	Victoria open data platform	State of Victoria	Open data portal	Regional government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
flooddatasesnswgovau	https://flooddata.ses.nsw.gov.au	NSW Flood Data Portal		Open data portal	Regional government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
geosciencedataqldgovau	https://geoscience.data.qld.gov.au	GSQ Open Data Portal		Open data portal	Regional government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
mavtechnologygeelongvicopendatasoftcom	https://mav-technology-geelongvic.opendatasoft.com	Municipal Association of Victoria	Municipal Association of Victoria	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True			uncertain
opendatanewcastlenswiaropendatasoftcom	https://opendata-newcastlenswiar.opendatasoft.com	City of Newcastle open data	City of Newcastle	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True			uncertain
wwwconnectghcomau	https://www.connectgh.com.au	Smart City and Open Data portal of Southern Grampians Shire Council	Southern Grampians Shire Council	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://sthgrampians.vic.gov.au		uncertain
wwwdatabrisbaneqldgovau	https://www.data.brisbane.qld.gov.au	Data | Brisbane City Council		Open data portal	Local government	CKAN	EN	dataset	open	Australia	government,has_api	active	True			active
wwwgeelongdataexchangecomau	https://www.geelongdataexchange.com.au	City of Greater Geelong data exchange	City of Greater Geelong	Open data portal	Local government	OpenDataSoft	EN	dataset	open	Australia	government,has_api	active	True	https://www.geelongaustralia.com.au		uncertain
collectionsalaorgau	https://collections.ala.org.au/datasets	Atlas of Living Australia data sets		Scientific data repository	Academy	Custom software	EN	dataset	open	Australia	scientific	active				uncertain
datacsiroau	https://data.csiro.au	CSIRO Data Access Portal		Scientific data repository	Academy	Custom software	EN	dataset	open	Australia	scientific	active				active
dataverseadaeduau	https://dataverse.ada.edu.au	ADA Dataverse		Scientific data repository	Academy	Dataverse	EN	dataset	open	Australia	scientific,has_api	active	True			deprecated
portalaodnorgau	https://portal.aodn.org.au	Australian Ocean Data Network		Scientific data repository	Academy	Custom software	EN	dataset	open	Australia	scientific	active				active
researchdataeduau	https://researchdata.edu.au	Research Data Australia		Scientific data repository	Academy	Custom software	EN	dataset	open	Australia	scientific	active				active
wwwazstatorg	https://www.azstat.org/portal/?lang=en	ASIS. Azerbajan statistical information service		Indicators catalog	Central government	Custom software	EN,AZ	indicator	open	Azerbaijan	statistics,government	active				active
opendataaz	https://opendata.az	Open Data Portal Azerbaijan		Open data portal	Central government	Custom software	EN,RU,AZ	dataset	open	Azerbaijan	government	active				uncertain
