id	link	name	owner_name	owner_link	catalog_type	owner_type	software	langs	content_types	access_mode	countries	tags	status	api	catalog_export	api_status
mapasdagocr	http://mapas.da.go.cr/geonetwork	Dirección de Aguas Data Portal	Direccion de Agua	https://da.go.cr	Geoportal	Central government	Geonetwork	ES,EN	dataset,map_layer	open	Costa Rica	geospatial,has_api	active	TRUE		active
metadatosideoniongocr	https://metadatos.ideonion.go.cr/geoserver	Geoportal de Datos Geográficos Municipalidad de Santa Ana	Municipalidad de Santa Ana	https://www.santaana.go.cr/	Geoportal	Local government	GeoServer	ES	dataset,map_layer	public	Costa Rica	geospatial,government	active			uncertain
visorsanramongocr	http://visor.sanramon.go.cr/geonetwork	Catalogo de la Municipalidad de San Ramon	Municipalidad de San Ramon	https://www.sanramon.go.cr	Geoportal	Local government	Geonetwork	ES,EN	dataset,map_layer	open	Costa Rica	geospatial,has_api	active	TRUE		active
sistemasineccr	http://sistemas.inec.cr/pad5/index.php	Catálogo Central de Datos Costa Rica	Instituto Nacional de Estadística y Censos Costa Rica	https://inec.cr	Microdata catalog	Central government	NADA	ES	dataset	open,limited	Costa Rica	government,has_api,microdata	active	TRUE		active
datosabiertosineccr	https://datosabiertos.inec.cr	Datos Abiertos INEC	Instituto Nacional de Estadística y Censos Costa Rica	https://inec.cr	Open data portal	Central government	DKAN	ES	dataset	open,limited	Costa Rica	government,has_api	active	TRUE		active
cystatdbcystatgovcy	https://cystatdb.cystat.gov.cy	CYSTAT-DB	Cyprus Stat	https://cystat.gov.cy	Indicators catalog	Central government	PxWeb	EN,GR	indicator	open	Cyprus	statistics,government	active			uncertain
datagovcy	https://data.gov.cy	National Opendata portal Cyprus	Ministry of Finances, Cyprus	http://www.mof.gov.cy	Open data portal	Central government	DKAN	GR,EN	dataset	open	Cyprus	government	active			uncertain
ckand4sd4scienceorg	https://ckan-d4s.d4science.org	D4Science Catalogue	D4Science	https://www.d4science.org	Open data portal	Business	CKAN	EN	dataset	open	Italy	has_api	active	TRUE		active
weatherlayers	https://catalog.weatherlayers.com/catalog/	WeatherLayers	Kamzek s.r.o.	https://www.weatherlayers.com	Geoportal	Business	Stac-server	EN	dataset,map_layer	protected	Czech Republic	geospatial,has_api	active	TRUE		active
vdbczsocz	https://vdb.czso.cz/vdbvo2/faces/en/index.jsf?page=home	Czezh Statistical office Public database	Czezh Statistical office	https://czso.cz	Indicators catalog	Central government	Custom software	CZ	indicator	open	Czech Republic	statistics,government	active			uncertain
datactucz	https://data.army.cz	Otevřená data Ministerstva obrany České republiky	Ministerstvo obrany České republiky	https://www.army.cz	Open data portal	Central government	DKAN	CZ	dataset	open	Czech Republic	government	active			uncertain
datactucz	https://data.ctu.cz	CTU Open Data	Czech Telecommunication Office	https://www.ctu.cz	Open data portal	Central government	DKAN	CZ	dataset	open	Czech Republic	government	active			uncertain
datagovcz	https://data.gov.cz	Czezh Open Data portal	Digital and Information Agency	https://dia.gov.cz	Open data portal	Central government	Custom software	CZ,EN	dataset	open	Czech Republic	government	active			uncertain
datahubbrnocz	https://datahub.brno.cz	data.Brno	Magistrát města Brna	https://brno.cz	Geoportal	Local government	ArcGIS Hub	CZ	dataset,map_layer	open	Czech Republic	geospatial,government,has_api	active	TRUE		active
datammrcz	http://data.mmr.cz	The Ministry of Regional Development of the Czech Republic open data portal	The Ministry of Regional Development of the Czech Republic	https://www.mmr.cz	Open data portal	Central government	CKAN	CZ	dataset	open	Czech Republic	government,has_api	active	TRUE		active
opendatammdecincz	https://opendata.mmdecin.cz	opendata města Děčín	Magistrát města Děčín	https://mmdecin.cz	Open data portal	Local government	CKAN	CZ	dataset	open	Czech Republic	government,has_api	active	TRUE		active
opendatamzcrcz	https://opendata.mzcr.cz	Katalog otevřených dat Ministerstvo zdravotnictví České republiky	Ministerstvo zdravotnictví České republiky	https://mzcr.cz	Open data portal	Central government	CKAN	CZ	dataset	open	Czech Republic	government,has_api	active	TRUE		active
opendatamzpcz	https://opendata.mzp.cz	Otevřená data resortu životního prostředí	Ministerstvo životního prostředí	https://www.mzp.cz	Open data portal	Central government	CKAN	CZ	dataset	open	Czech Republic	government,has_api	active	TRUE		active
opendataplzeneu	https://opendata.plzen.eu	Databáze otevřených dat města Plzně	TUTA Plzeň	https://www.plzen.eu	Open data portal	Local government	Custom software	CZ	dataset	open	Czech Republic	government,has_api	active			uncertain
opendataprahaeu	https://opendata.praha.eu	Open data hlavního města Prahy	Praha	https://praha.eu	Open data portal	Local government	Custom software	CZ	dataset	open	Czech Republic	government,has_api	active	TRUE		active
opendatatulcz	https://opendata.tul.cz	Open data TUL (university)	Technical University of Liberec	https://www.tul.cz	Geoportal	Academy	ArcGIS Hub	CZ	dataset,map_layer	open	Czech Republic	geospatial,has_api	active	TRUE		active
cswsachsenidude	http://csw-sachsen.idu.de/geonetwork	IDU IT Sachen Data catalogue	IDU IT+Umwelt GmbH	https://www.idu.de	Geoportal	Business	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
datamundialisde	https://data.mundialis.de/geonetwork	Data mundialis	Mundialis	https://mundialis.de	Geoportal	Business	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
datenzefde	https://daten.zef.de/geonetwork	ZEF Data portal	The Center for Development Research University of Bonn	https://www.zef.de	Geoportal	Academy	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
digitale-orthophotos-niedersachsen	https://dop-stac.opengeodata.lgln.niedersachsen.de/catalog.json	Digitale Orthophotos Niedersachsen	Niedersachsen	https://niedersachsen.de	Geoportal	Regional government	Stac-server	EN	dataset,map_layer	public	Germany	geospatial,has_api	active	TRUE		uncertain
gdiberlinde	https://gdi.berlin.de/geonetwork	Berlin Geodata catalogue	Berlin city	https://www.berlin.de	Geoportal	Local government	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
gdicatalogbmelde	https://gdi-catalog.bmel.de	GDI.BMEL Metadatenverzeichnis	Federal ministry of food and agriculture	https://www.bmel.de	Geoportal	Central government	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
gdiflide	https://gdi.fli.de/geonetwork	Friedrich-Loeffler-Institut geonetwork	Friedrich-Loeffler-Institut	https://www.fli.de	Geoportal	Academy	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
gdigajamatrixde	https://gdi.gajamatrix.de/geonetwork/geonetwork	GajaMatrix CSW-Katalog	Gingko.Systeme	https://geoinformationssystem.net	Geoportal	Business	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
gdihegingkode	https://gdi-he.gingko.de/geonetwork	Geodateninfrastructur Deuchland	Gingko	https://www.gingko.de	Geoportal	Business	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
gdkgdideorg	https://gdk.gdi-de.org/gdi-de	The Spatial Data Infrastructure Germany (SDI Germany) geonetwork catalogue	Federal Agency for Cartography and Geodesy	https://www.gdi-de.org	Geoportal	Central government	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
geodatenfreiburgde	https://geodaten.freiburg.de/geonetwork	Geodatenkatalog der Stadt Freiburg im Breisgau	Stadt Freiburg im Breisgau	https://www.freiburg.de	Geoportal	Academy	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
geodatenkatalogfrankfurtde	https://geodatenkatalog.frankfurt.de/geonetwork/geonetwork	Geodateninfrastruktur Frankfurt am Main (GDI-FFM)	City of Frankfurt am Main	https://www.frankfurt.de	Geoportal	Local government	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
geonetworkufzde	http://geonetwork.ufz.de/geonetwork	UFZ Metadata Catalog for Spatial Resources	Helmholtz Centre for Environmental Research	https://www.ufz.de	Geoportal	Academy	Geonetwork	DE,EN	dataset,map_layer	open	Germany	geospatial,has_api	active	TRUE		active
