dbid,name,link,langs,catalog_type,access_mode,content_types,countries,owner_type,software,export_standard,add_date,update_date,catalog_export,description,owner_name,owner_link,search_index,storage_volume,dataset_count,api,api_link
portalhubmapconsortiumorg,Human BioMolecular Atlas Program,portal.hubmapconsortium.org,EN,Scientific data repository,Open,Dataset,United States,Academy,Custom software,,26.3.2023,26.3.2023 00:00,,,,,,,,,
portaliggacmn,IGG Knowledge Portal,portal.igg.ac.mn,MN,Open data portal,Open,Dataset,Mongolia,Academy,CKAN,CKAN API,,,,,,,,,,checked,http://portal.igg.ac.mn/api/3
portalmeritmn,CKAN,portal.merit.mn,MN,Open data portal,Open,Dataset,Mongolia,Civil society,CKAN,CKAN API,,,,,,,,,,checked,http://portal.merit.mn/api/3
portalopendatadk,Open Data DK - ,portal.opendata.dk,DA,Open data portal,Open,Dataset,Denmark,Government,CKAN,CKAN API,,,,,,,,,,checked,http://portal.opendata.dk/api/3
portalopentopographyorg,OpenTopography Data Catalog,portal.opentopography.org,EN,Geoportal,Open,Dataset,World,Academy,Custom software,,24.3.2023,24.3.2023 00:00,,,,,,,,,
proyectoardeorg,Arde,proyectoarde.org,ES,Open data portal,Open,Dataset,,,CKAN,CKAN API,,,,,,,,,,checked,http://proyectoarde.org/data/api/3
publicationsaberdeenshiregovuk, Publications - Aberdeenshire Council,publications.aberdeenshire.gov.uk,EN,Open data portal,Open,Dataset,United Kingdom,Government,CKAN,CKAN API,,,,,,,,,,checked,http://publications.aberdeenshire.gov.uk/api/3
pxwebasubax,Aland islands statistical databases (PxWeb),pxweb.asub.ax,"EN,SE",Indicators catalog,Open,Indicator,Sweden,Government,PxWeb,,,,,,,,,,,,
pxwebgsogovvn,Statbank Vietnam,pxweb.gso.gov.vn,VN,Indicators catalog,Open,Indicator,Vietnam,Government,PxWeb,,,,,,,,,,,,
pxwebirenaorg, IRENASTAT Online Data Query Tool ,pxweb.irena.org,"EN,ES,FR",Indicators catalog,Open,Indicator,World,International,PxWeb,,24.3.2023,24.3.2023 00:00,,,,,,,,,
pxwebmonstatorg,Statisital office of Montenegro database,pxweb.monstat.org,EN,Indicators catalog,Open,Indicator,Montenegro,Government,PxWeb,,24.3.2023,24.3.2023 00:00,,,,,,,,,
pxwebnhwstatorg, Nordic Health and Welfare Statistics Nordic Health and Welfare Statistics ,pxweb.nhwstat.org,EN,Indicators catalog,Open,Indicator,"Norway,Iceland,Finland,Sweden,Denmark",International,PxWeb,,24.3.2023,24.3.2023 00:00,,,,,,,,,
